Voltage,Temperature,Frequency(v(out)
5,20,1005950.515
5,21,1012194.995
5,22,1017407.592
5,23,1023204.753
5,24,1029339.752
5,25,1035840.77
5,26,1042509.96
5,27,1048895.789
5,28,1055603.245
5,29,1062395.821
5,30,1069276.893
5,31,1076990.119
5,32,1083920.137
5,33,1091100.366
5,34,1098589.541
5,35,1106503.039
5,36,1114944.341
5,37,1122799.292
5,38,1131220.6
5,39,1140082.606
5,40,1148617.072
5,41,1158059.769
5,42,1167746.299
5,43,1177335.484
5,44,1187165.612
5,45,1197830.745
5,46,1207588.657
5,47,1218238.312
5,48,1230357.763
5,49,1241776.435
5,50,1253571.093
5,51,1265509.493
5,52,1279371.631
5,53,1291278.345
5,54,1305219.935
5,55,1319069.823
5,56,1333936.339
5,57,1348607.49
5,58,1364480.3
5,59,1380138.839
5,60,1398013.093
5.1,20,1005650.89
5.1,21,1011508.883
5.1,22,1017177.148
5.1,23,1023725.282
5.1,24,1029754.655
5.1,25,1035322.542
5.1,26,1042170.224
5.1,27,1048664.319
5.1,28,1055348.625
5.1,29,1062045.564
5.1,30,1068964.375
5.1,31,1076927.639
5.1,32,1083230.542
5.1,33,1090826.314
5.1,34,1099034.956
5.1,35,1106528.995
5.1,36,1114624.501
5.1,37,1122638.817
5.1,38,1130828.475
5.1,39,1139574.514
5.1,40,1148536.878
5.1,41,1157568.729
5.1,42,1167613.513
5.1,43,1177172.786
5.1,44,1187166.649
5.1,45,1197362.171
5.1,46,1207760.336
5.1,47,1218699.43
5.1,48,1229727.561
5.1,49,1241510.908
5.1,50,1253346.146
5.1,51,1265650.366
5.1,52,1278738.978
5.1,53,1291808.218
5.1,54,1305521.78
5.1,55,1319592.92
5.1,56,1333704.12
5.1,57,1348504.787
5.1,58,1364286.588
5.1,59,1381253.244
5.1,60,1397605.971
5.2,20,1005877.492
5.2,21,1011153.963
5.2,22,1017572.144
5.2,23,1023311.825
5.2,24,1029178.791
5.2,25,1035535.201
5.2,26,1042246.549
5.2,27,1048330.78
5.2,28,1055123.29
5.2,29,1062022.215
5.2,30,1068661.142
5.2,31,1075834.058
5.2,32,1083580.294
5.2,33,1090447.931
5.2,34,1098521.838
5.2,35,1106525.294
5.2,36,1114216.243
5.2,37,1122530.289
5.2,38,1131702.102
5.2,39,1140032.803
5.2,40,1149103.355
5.2,41,1157880.792
5.2,42,1167379.956
5.2,43,1176979.02
5.2,44,1187116.029
5.2,45,1197533.168
5.2,46,1207124.146
5.2,47,1218197.489
5.2,48,1230220.878
5.2,49,1241540.414
5.2,50,1253263.36
5.2,51,1265709.157
5.2,52,1277565.058
5.2,53,1291117.839
5.2,54,1304343.802
5.2,55,1318906.54
5.2,56,1333431.705
5.2,57,1348435.081
5.2,58,1363896.831
5.2,59,1380010.646
5.2,60,1398234.192
5.3,20,1005444.183
5.3,21,1011233.503
5.3,22,1016847.598
5.3,23,1022670.481
5.3,24,1028723.072
5.3,25,1035427.928
5.3,26,1041561.983
5.3,27,1048415.218
5.3,28,1055001.415
5.3,29,1061777.446
5.3,30,1068871.407
5.3,31,1075731.327
5.3,32,1082883.477
5.3,33,1090757.819
5.3,34,1098147.301
5.3,35,1106316.539
5.3,36,1114246.667
5.3,37,1122503.481
5.3,38,1131009.95
5.3,39,1140234.759
5.3,40,1147974.194
5.3,41,1157575.935
5.3,42,1166878.576
5.3,43,1176731.459
5.3,44,1186549.804
5.3,45,1196612.059
5.3,46,1208306.43
5.3,47,1219079.263
5.3,48,1229456.289
5.3,49,1241131.114
5.3,50,1252950.079
5.3,51,1264889.4
5.3,52,1278170.22
5.3,53,1291675.585
5.3,54,1304605.05
5.3,55,1319178.686
5.3,56,1333054.44
5.3,57,1349560.424
5.3,58,1363958.091
5.3,59,1379992.694
5.3,60,1397668.435
5.4,20,1005290.286
5.4,21,1010776.721
5.4,22,1017135.312
5.4,23,1022887.612
5.4,24,1029536.514
5.4,25,1035254.897
5.4,26,1041829.743
5.4,27,1047845.564
5.4,28,1054690.033
5.4,29,1062048.339
5.4,30,1068395.179
5.4,31,1075946.31
5.4,32,1082426.942
5.4,33,1090248.823
5.4,34,1098289.635
5.4,35,1105863.076
5.4,36,1114016.521
5.4,37,1121954.546
5.4,38,1130486.818
5.4,39,1139202.122
5.4,40,1147840.001
5.4,41,1157983.573
5.4,42,1166934.926
5.4,43,1176442.71
5.4,44,1186660.174
5.4,45,1197114.608
5.4,46,1206768.894
5.4,47,1218003.343
5.4,48,1229770.015
5.4,49,1241040.117
5.4,50,1252747.983
5.4,51,1265013.399
5.4,52,1277568.838
5.4,53,1291928.547
5.4,54,1304402.803
5.4,55,1318554.389
5.4,56,1333510.057
5.4,57,1348080.459
5.4,58,1364495.545
5.4,59,1379594.791
5.4,60,1396236.5
5.5,20,1005252.847
5.5,21,1010588.802
5.5,22,1017046.535
5.5,23,1022886.984
5.5,24,1028863.359
5.5,25,1034791.015
5.5,26,1041275.964
5.5,27,1047887.152
5.5,28,1054468.37
5.5,29,1061302.378
5.5,30,1068193.198
5.5,31,1075286.227
5.5,32,1083450.422
5.5,33,1089919.024
5.5,34,1097767.883
5.5,35,1105947.518
5.5,36,1113964.125
5.5,37,1122066.975
5.5,38,1130358.658
5.5,39,1139698.167
5.5,40,1148698.103
5.5,41,1157766.882
5.5,42,1167131.59
5.5,43,1176360.869
5.5,44,1185979.261
5.5,45,1196424.577
5.5,46,1206878.908
5.5,47,1217590.549
5.5,48,1229433.653
5.5,49,1240725.281
5.5,50,1252362.775
5.5,51,1265343.117
5.5,52,1277426.024
5.5,53,1291800.701
5.5,54,1305079.344
5.5,55,1317651.136
5.5,56,1333227.331
5.5,57,1348159.176
5.5,58,1364892.361
5.5,59,1379613.741
5.5,60,1396461.821
5.6,20,1005162.703
5.6,21,1010710.198
5.6,22,1016185.855
5.6,23,1022614.208
5.6,24,1028168.556
5.6,25,1035082.799
5.6,26,1041067.066
5.6,27,1047587.741
5.6,28,1054553.335
5.6,29,1061324.49
5.6,30,1068702.779
5.6,31,1074917.91
5.6,32,1082724.463
5.6,33,1089994.636
5.6,34,1097333.278
5.6,35,1105501.018
5.6,36,1113945.265
5.6,37,1121795.872
5.6,38,1130463.255
5.6,39,1138690.267
5.6,40,1148317.048
5.6,41,1157028.807
5.6,42,1166858.356
5.6,43,1176450.722
5.6,44,1186163.218
5.6,45,1195861.229
5.6,46,1207369.306
5.6,47,1218116.399
5.6,48,1228513.601
5.6,49,1240443.905
5.6,50,1252756.1
5.6,51,1265133.769
5.6,52,1278781.134
5.6,53,1290818.978
5.6,54,1304343.59
5.6,55,1318312.151
5.6,56,1333140.415
5.6,57,1348153.77
5.6,58,1364258.996
5.6,59,1379925.459
5.6,60,1396336.466
5.7,20,1004631.875
5.7,21,1010411.193
5.7,22,1016023.128
5.7,23,1022113.355
5.7,24,1028288.338
5.7,25,1034924.299
5.7,26,1041035.583
5.7,27,1047787.701
5.7,28,1054408.384
5.7,29,1061227.249
5.7,30,1068774.502
5.7,31,1075058.437
5.7,32,1082080.912
5.7,33,1089345.338
5.7,34,1097426.661
5.7,35,1105442.144
5.7,36,1113577.816
5.7,37,1122166.177
5.7,38,1130975.783
5.7,39,1138393.616
5.7,40,1147501.574
5.7,41,1156745.227
5.7,42,1166559.39
5.7,43,1176224.15
5.7,44,1185957.774
5.7,45,1196239.685
5.7,46,1207696.343
5.7,47,1218485.403
5.7,48,1228556.329
5.7,49,1240470.493
5.7,50,1252679.515
5.7,51,1264456.548
5.7,52,1278493.489
5.7,53,1289756.773
5.7,54,1303596.104
5.7,55,1317792.115
5.7,56,1332985.975
5.7,57,1347769.479
5.7,58,1363033.349
5.7,59,1379509.425
5.7,60,1397932.177
5.8,20,1004426.588
5.8,21,1010419.559
5.8,22,1015899.117
5.8,23,1021845.722
5.8,24,1028231.02
5.8,25,1034728.808
5.8,26,1041148.655
5.8,27,1047544.942
5.8,28,1054220.064
5.8,29,1060732.991
5.8,30,1068194.241
5.8,31,1074695.016
5.8,32,1082041.455
5.8,33,1089610.889
5.8,34,1097106.3
5.8,35,1105169.903
5.8,36,1113364.064
5.8,37,1122237.08
5.8,38,1130289.338
5.8,39,1138209.106
5.8,40,1147140.614
5.8,41,1156990.31
5.8,42,1166229.957
5.8,43,1176088.765
5.8,44,1185984.139
5.8,45,1195915.328
5.8,46,1207064.258
5.8,47,1218042.252
5.8,48,1228450.123
5.8,49,1240503.33
5.8,50,1252356.818
5.8,51,1264319.108
5.8,52,1278083.044
5.8,53,1289622.44
5.8,54,1304319.041
5.8,55,1318472.738
5.8,56,1332759.022
5.8,57,1347959.583
5.8,58,1363551.81
5.8,59,1378591.814
5.8,60,1397804.325
5.9,20,1004235.903
5.9,21,1010125.8
5.9,22,1015652.017
5.9,23,1021586.594
5.9,24,1028088.699
5.9,25,1034538.855
5.9,26,1040613.095
5.9,27,1047297.937
5.9,28,1054070.84
5.9,29,1060640.256
5.9,30,1067652.933
5.9,31,1074968.085
5.9,32,1081730.101
5.9,33,1089792.46
5.9,34,1097565.812
5.9,35,1105138.434
5.9,36,1113148.59
5.9,37,1121838.926
5.9,38,1130463.118
5.9,39,1138315.791
5.9,40,1146809.16
5.9,41,1156678.982
5.9,42,1166016.118
5.9,43,1175931.063
5.9,44,1185852.187
5.9,45,1196301.266
5.9,46,1206063.991
5.9,47,1216851.635
5.9,48,1229183.263
5.9,49,1240521.526
5.9,50,1252256.567
5.9,51,1264206.533
5.9,52,1277786.579
5.9,53,1289344.638
5.9,54,1304393.249
5.9,55,1318546.613
5.9,56,1332496.354
5.9,57,1347501.474
5.9,58,1363985.159
5.9,59,1379804.085
5.9,60,1397421.58
6,20,1004180.951
6,21,1009853.383
6,22,1015583.704
6,23,1021619.673
6,24,1027770.222
6,25,1034377.767
6,26,1040780.466
6,27,1047093.429
6,28,1053901.594
6,29,1060989.262
6,30,1067396.354
6,31,1074515.701
6,32,1081706.233
6,33,1089551.941
6,34,1097506.441
6,35,1105059.79
6,36,1112888.045
6,37,1121532.949
6,38,1130457.634
6,39,1138232.076
6,40,1147498.7
6,41,1156053.11
6,42,1165894.716
6,43,1175767.361
6,44,1185654.625
6,45,1195935.058
6,46,1206307.446
6,47,1217023.256
6,48,1229206.583
6,49,1240495.981
6,50,1252286.636
6,51,1264153.457
6,52,1277555.221
6,53,1290679.807
6,54,1303375.086
6,55,1318458.96
6,56,1332137.761
6,57,1347383.122
6,58,1364222.659
6,59,1380581.824
6,60,1395756.056
6.1,20,1004186.341
6.1,21,1009664.371
6.1,22,1015947.927
6.1,23,1021900.203
6.1,24,1027599.924
6.1,25,1034258.64
6.1,26,1040863.611
6.1,27,1046841.476
6.1,28,1053720.973
6.1,29,1060340.297
6.1,30,1067503.004
6.1,31,1074190.294
6.1,32,1082284.241
6.1,33,1089060.61
6.1,34,1097395.08
6.1,35,1105140.123
6.1,36,1112770.735
6.1,37,1121491.27
6.1,38,1130378.619
6.1,39,1137857.081
6.1,40,1148073.131
6.1,41,1155839.86
6.1,42,1165878.161
6.1,43,1175534.132
6.1,44,1185426.576
6.1,45,1195552.749
6.1,46,1206944.599
6.1,47,1217657.995
6.1,48,1228541.505
6.1,49,1240341.126
6.1,50,1251945.475
6.1,51,1264708.149
6.1,52,1276648.206
6.1,53,1290626.395
6.1,54,1304478.178
6.1,55,1318062.097
6.1,56,1332439.772
6.1,57,1348385.421
6.1,58,1362802.519
6.1,59,1380747.107
6.1,60,1396730.277
6.2,20,1003993.832
6.2,21,1010047.555
6.2,22,1015552.335
6.2,23,1021968.074
6.2,24,1027358.175
6.2,25,1034042.367
6.2,26,1040014.715
6.2,27,1046735.56
6.2,28,1053506.545
6.2,29,1060216.763
6.2,30,1067351.998
6.2,31,1074146.311
6.2,32,1081672.025
6.2,33,1088697.48
6.2,34,1097229.66
6.2,35,1105094.587
6.2,36,1113115.973
6.2,37,1120976.743
6.2,38,1129905.936
6.2,39,1138124.833
6.2,40,1146897.783
6.2,41,1156907.876
6.2,42,1165626.567
6.2,43,1175338.979
6.2,44,1185217.214
6.2,45,1195317.177
6.2,46,1206784.737
6.2,47,1217885.558
6.2,48,1227725.639
6.2,49,1239403.004
6.2,50,1251620.37
6.2,51,1263723.055
6.2,52,1276637.923
6.2,53,1291168.263
6.2,54,1304378.833
6.2,55,1317096.221
6.2,56,1332492.401
6.2,57,1347430.501
6.2,58,1362184.188
6.2,59,1379357.564
6.2,60,1396052.007
6.3,20,1003917.355
6.3,21,1009430.015
6.3,22,1015325.941
6.3,23,1021167.046
6.3,24,1028136.765
6.3,25,1033255.659
6.3,26,1040161.153
6.3,27,1046891.12
6.3,28,1053275.535
6.3,29,1060697.958
6.3,30,1066925.496
6.3,31,1074615.235
6.3,32,1082482.109
6.3,33,1089395.63
6.3,34,1096814.019
6.3,35,1104508.103
6.3,36,1112623.283
6.3,37,1120480.1
6.3,38,1129195.643
6.3,39,1138694.926
6.3,40,1147872.498
6.3,41,1156339.378
6.3,42,1165259.7
6.3,43,1174973.471
6.3,44,1185284.936
6.3,45,1196082.727
6.3,46,1205522.66
6.3,47,1216386.201
6.3,48,1228346.405
6.3,49,1239658.075
6.3,50,1251256.59
6.3,51,1263794.653
6.3,52,1277266.541
6.3,53,1289063.293
6.3,54,1302570.524
6.3,55,1317422.871
6.3,56,1332214.2
6.3,57,1347147.881
6.3,58,1363512.099
6.3,59,1379151.831
6.3,60,1396938.311
6.4,20,1003685.873
6.4,21,1009128.081
6.4,22,1015513.492
6.4,23,1020780.012
6.4,24,1027052.219
6.4,25,1033809.889
6.4,26,1040325.928
6.4,27,1046460.592
6.4,28,1053128.534
6.4,29,1060119.838
6.4,30,1067438.69
6.4,31,1074283.405
6.4,32,1081115.081
6.4,33,1088757.352
6.4,34,1096341.03
6.4,35,1104627.587
6.4,36,1112784.169
6.4,37,1121304.659
6.4,38,1128943.732
6.4,39,1138215.805
6.4,40,1146756.436
6.4,41,1156654.314
6.4,42,1165873.006
6.4,43,1175180.72
6.4,44,1184590.116
6.4,45,1194908.215
6.4,46,1206042.867
6.4,47,1216783.092
6.4,48,1228236.832
6.4,49,1239422.72
6.4,50,1251473.948
6.4,51,1264635.392
6.4,52,1276935.328
6.4,53,1290795.968
6.4,54,1303812.707
6.4,55,1317145.517
6.4,56,1332307.275
6.4,57,1347519.08
6.4,58,1363095.586
6.4,59,1380202.84
6.4,60,1395844.422
6.5,20,1003756.723
6.5,21,1009245.389
6.5,22,1015106.146
6.5,23,1021290.202
6.5,24,1027583.71
6.5,25,1033435.397
6.5,26,1039614.999
6.5,27,1046665.59
6.5,28,1052858.43
6.5,29,1059818.384
6.5,30,1066670.884
6.5,31,1073623.315
6.5,32,1081580.042
6.5,33,1089069.793
6.5,34,1096499.974
6.5,35,1104576.811
6.5,36,1112565.866
6.5,37,1120740.774
6.5,38,1129072.057
6.5,39,1137418.105
6.5,40,1146704.607
6.5,41,1155736.243
6.5,42,1165451.314
6.5,43,1175421.927
6.5,44,1185513.858
6.5,45,1194983.859
6.5,46,1205420.666
6.5,47,1216639.9
6.5,48,1227227.034
6.5,49,1239209.342
6.5,50,1251743.739
6.5,51,1263576.863
6.5,52,1276381.375
6.5,53,1289251.722
6.5,54,1302732.604
6.5,55,1318036.533
6.5,56,1332261.687
6.5,57,1346728.285
6.5,58,1362228.354
6.5,59,1378769.468
6.5,60,1396198.887
6.6,20,1003411.334
6.6,21,1008775.274
6.6,22,1015284.209
6.6,23,1020792.413
6.6,24,1027037.793
6.6,25,1033547.437
6.6,26,1039714.141
6.6,27,1046265.727
6.6,28,1052812.618
6.6,29,1060011.304
6.6,30,1066655.032
6.6,31,1074026.433
6.6,32,1081608.006
6.6,33,1089183.803
6.6,34,1095790.929
6.6,35,1103976.028
6.6,36,1112414.621
6.6,37,1120435.063
6.6,38,1128473.859
6.6,39,1138163.975
6.6,40,1147288.029
6.6,41,1156086.912
6.6,42,1165675.783
6.6,43,1174492.968
6.6,44,1185078.659
6.6,45,1195346.146
6.6,46,1205621.183
6.6,47,1216362.147
6.6,48,1228518.54
6.6,49,1239960.86
6.6,50,1250949.845
6.6,51,1264509.237
6.6,52,1276485.451
6.6,53,1290162.79
6.6,54,1303094.628
6.6,55,1316374.1
6.6,56,1332105.518
6.6,57,1346655.574
6.6,58,1362388.123
6.6,59,1378690.941
6.6,60,1397078.119
6.7,20,1003444.949
6.7,21,1009158.13
6.7,22,1014761.071
6.7,23,1021016.363
6.7,24,1027089.511
6.7,25,1033670.164
6.7,26,1039562.81
6.7,27,1046459.152
6.7,28,1053002.808
6.7,29,1059501.446
6.7,30,1066625.306
6.7,31,1073328.411
6.7,32,1080623.881
6.7,33,1088096.637
6.7,34,1096787.896
6.7,35,1104122.189
6.7,36,1112320.366
6.7,37,1120403.006
6.7,38,1129207.565
6.7,39,1136963.065
6.7,40,1146034.394
6.7,41,1156037.348
6.7,42,1164835.388
6.7,43,1175054.31
6.7,44,1184608.401
6.7,45,1195709.541
6.7,46,1205811.667
6.7,47,1216964.529
6.7,48,1227871.768
6.7,49,1238918.574
6.7,50,1251374.999
6.7,51,1263377.81
6.7,52,1276848.409
6.7,53,1288759.774
6.7,54,1302348.223
6.7,55,1316708.646
6.7,56,1332011.139
6.7,57,1346913.913
6.7,58,1362546.04
6.7,59,1379318.646
6.7,60,1395291.927
6.8,20,1003109.121
6.8,21,1008895.193
6.8,22,1015238.05
6.8,23,1020851.393
6.8,24,1026514.224
6.8,25,1032958.447
6.8,26,1039320.911
6.8,27,1046095.14
6.8,28,1052815.322
6.8,29,1059580.721
6.8,30,1067216.371
6.8,31,1074021.414
6.8,32,1081327.608
6.8,33,1089123.576
6.8,34,1096381.802
6.8,35,1103633.513
6.8,36,1112138.716
6.8,37,1120858.822
6.8,38,1129477.289
6.8,39,1137310.368
6.8,40,1146679.448
6.8,41,1155815.131
6.8,42,1165427.691
6.8,43,1174909.645
6.8,44,1184685.607
6.8,45,1194574.566
6.8,46,1205748.231
6.8,47,1216480.819
6.8,48,1227510.046
6.8,49,1239003.45
6.8,50,1251323.942
6.8,51,1263709.486
6.8,52,1275866.216
6.8,53,1289825.476
6.8,54,1303935.108
6.8,55,1317879.063
6.8,56,1331769.581
6.8,57,1347056.17
6.8,58,1363976.498
6.8,59,1378338.199
6.8,60,1396544.184
6.9,20,1003015.96
6.9,21,1008590.616
6.9,22,1014244.7
6.9,23,1020653.731
6.9,24,1026919.879
6.9,25,1032933.886
6.9,26,1038917.553
6.9,27,1046167.119
6.9,28,1052549.765
6.9,29,1059160.482
6.9,30,1066195.191
6.9,31,1074087.338
6.9,32,1080563.491
6.9,33,1087868.243
6.9,34,1095511.649
6.9,35,1103683.666
6.9,36,1111969.755
6.9,37,1120126.953
6.9,38,1128341.318
6.9,39,1137764.333
6.9,40,1146307.443
6.9,41,1155177.082
6.9,42,1164850.984
6.9,43,1174829.905
6.9,44,1184929.007
6.9,45,1195502
6.9,46,1205860.618
6.9,47,1217132.867
6.9,48,1227409.881
6.9,49,1239580.955
6.9,50,1251288.688
6.9,51,1264019.748
6.9,52,1276815.758
6.9,53,1288269.417
6.9,54,1303281.383
6.9,55,1317561.923
6.9,56,1331443.457
6.9,57,1346443.008
6.9,58,1362054.195
6.9,59,1378570.77
6.9,60,1396712.583
7,20,1002926.885
7,21,1008343.909
7,22,1014376.058
7,23,1021198.099
7,24,1025978.751
7,25,1033409.661
7,26,1039639.77
7,27,1045896.388
7,28,1052579.268
7,29,1059011.618
7,30,1066617.94
7,31,1073147.274
7,32,1080328.408
7,33,1088865.567
7,34,1095434.524
7,35,1103832.926
7,36,1111736.763
7,37,1120339.266
7,38,1129454.305
7,39,1137022.201
7,40,1145271.56
7,41,1155677.757
7,42,1165152.154
7,43,1174715.699
7,44,1184489.921
7,45,1194507.038
7,46,1205949.957
7,47,1216218.509
7,48,1228178.879
7,49,1239443.065
7,50,1251132.354
7,51,1263078.818
7,52,1275592.131
7,53,1288859.573
7,54,1303883.28
7,55,1316776.821
7,56,1331253.366
7,57,1347324.858
7,58,1362135.947
7,59,1378279.005
7,60,1395981.407
7.1,20,1002552.726
7.1,21,1008982.77
7.1,22,1014545.631
7.1,23,1020573.652
7.1,24,1026159.214
7.1,25,1032751.61
7.1,26,1039488.488
7.1,27,1045412.444
7.1,28,1052484.856
7.1,29,1059157.461
7.1,30,1066114.861
7.1,31,1073875.704
7.1,32,1080748.931
7.1,33,1088218.888
7.1,34,1096458.169
7.1,35,1103929.691
7.1,36,1111572.992
7.1,37,1119954.628
7.1,38,1128158.673
7.1,39,1136820.055
7.1,40,1146065.233
7.1,41,1155210.348
7.1,42,1164914.66
7.1,43,1174552.092
7.1,44,1184416.528
7.1,45,1194779.834
7.1,46,1204740.207
7.1,47,1215647.931
7.1,48,1227744.556
7.1,49,1239049.126
7.1,50,1251035.384
7.1,51,1263094.49
7.1,52,1275071.195
7.1,53,1289747.891
7.1,54,1303728.773
7.1,55,1316981.902
7.1,56,1331023.964
7.1,57,1347842.15
7.1,58,1362514.935
7.1,59,1378725.444
7.1,60,1395008.005
7.2,20,1002434.07
7.2,21,1008266.225
7.2,22,1013739.114
7.2,23,1019829.388
7.2,24,1026740.866
7.2,25,1032262.199
7.2,26,1038915.18
7.2,27,1045532.826
7.2,28,1052371.4
7.2,29,1059112.244
7.2,30,1065835.978
7.2,31,1073825.772
7.2,32,1080812.42
7.2,33,1087563.504
7.2,34,1096145.164
7.2,35,1103363.904
7.2,36,1111320.023
7.2,37,1119800.971
7.2,38,1128270.588
7.2,39,1136974.162
7.2,40,1147016.319
7.2,41,1154231.898
7.2,42,1164458.194
7.2,43,1174301.717
7.2,44,1184492.217
7.2,45,1195375.369
7.2,46,1204996.096
7.2,47,1216459.475
7.2,48,1226943.623
7.2,49,1238470.402
7.2,50,1250890.762
7.2,51,1263308.503
7.2,52,1275532.338
7.2,53,1289748.786
7.2,54,1303192.03
7.2,55,1317220.379
7.2,56,1331741.508
7.2,57,1346445.817
7.2,58,1362977.98
7.2,59,1377830.925
7.2,60,1394371.73
7.3,20,1002270.065
7.3,21,1008140.59
7.3,22,1013684.545
7.3,23,1019968.225
7.3,24,1026742.815
7.3,25,1032866.946
7.3,26,1039274.895
7.3,27,1045366.886
7.3,28,1052244.856
7.3,29,1059043.564
7.3,30,1065913.813
7.3,31,1072780.777
7.3,32,1080607.348
7.3,33,1088029.154
7.3,34,1095574.651
7.3,35,1103385.224
7.3,36,1111185.589
7.3,37,1119730.443
7.3,38,1128736.228
7.3,39,1136479.134
7.3,40,1146495.326
7.3,41,1154473.582
7.3,42,1163907.604
7.3,43,1174207.689
7.3,44,1184612.534
7.3,45,1194704.23
7.3,46,1205588.97
7.3,47,1216824.749
7.3,48,1226818.039
7.3,49,1239154.029
7.3,50,1250605.659
7.3,51,1262644.44
7.3,52,1276830.375
7.3,53,1288235.122
7.3,54,1302362.571
7.3,55,1316843.159
7.3,56,1331723.576
7.3,57,1346359.963
7.3,58,1362368.461
7.3,59,1377747.382
7.3,60,1394092.305
7.4,20,1002132.905
7.4,21,1008085.473
7.4,22,1013955.465
7.4,23,1020215.204
7.4,24,1026382.055
7.4,25,1032667.471
7.4,26,1039108.764
7.4,27,1045063.145
7.4,28,1052160.046
7.4,29,1058691.964
7.4,30,1066052.887
7.4,31,1072702.174
7.4,32,1079965.416
7.4,33,1087948.726
7.4,34,1095170.148
7.4,35,1103280.235
7.4,36,1111563.585
7.4,37,1119732.223
7.4,38,1128590.385
7.4,39,1136797.286
7.4,40,1145256.747
7.4,41,1155682.495
7.4,42,1163815.021
7.4,43,1174019.695
7.4,44,1184055.743
7.4,45,1194084.056
7.4,46,1205837.26
7.4,47,1216372.605
7.4,48,1227571.158
7.4,49,1238892.264
7.4,50,1250402.139
7.4,51,1262205.815
7.4,52,1276705.126
7.4,53,1288253.138
7.4,54,1301679.987
7.4,55,1316477.04
7.4,56,1330999.977
7.4,57,1346353.795
7.4,58,1362415.469
7.4,59,1378024.928
7.4,60,1395001.014
7.5,20,1002237.269
7.5,21,1008047.694
7.5,22,1014179.689
7.5,23,1020483.746
7.5,24,1025736.939
7.5,25,1032263.444
7.5,26,1038890.809
7.5,27,1044936.018
7.5,28,1052034.661
7.5,29,1058412.864
7.5,30,1065426.511
7.5,31,1072953.143
7.5,32,1079730.891
7.5,33,1087562.451
7.5,34,1095816.687
7.5,35,1103697.38
7.5,36,1111716.021
7.5,37,1119651.013
7.5,38,1127854.029
7.5,39,1137324.539
